"Substrate","Site","Basin","TotalAdjusted1","TotalAdjusted2","Rate1","Rate2","Unique1","Unique2","Unique3","Quantity1","Quantity2","Quantity3","TotalAdjustedZ1","TotalAdjustedZ2","RateZ1","RateZ2","UniqueZ1","UniqueZ2","UniqueZ3","QuantityZ1","QuantityZ2","QuantityZ3","TotalAdjustedMean","RateMean","QuantityMean","UniqueMean"
"Acetate",1,"Illinois Basin",69.77446,46.4189,1.814,0.6703,5,9,11,6268.7302,11354.0087,41607.8,0.953333872167184,0.471943229099172,3.55688424323964,1.04411740432565,-1.07331895420313,-0.75724956891632,-0.599214876272914,-0.929065341102467,-0.895745859153456,-0.697518632638825,58.09668,1.24215,19743.5129666667,8.33333333333333
"Acetate",2,"Illinois Basin",57.80918286,40.30513429,0.5988,0.4485,33,35,32,258549.7278,289875.3704,181754.527,0.70671283388287,0.345929996845093,0.887028282193669,0.556811568117625,1.13916674280455,1.29720143544796,1.06014939648285,0.723916328556643,0.92916648017604,0.220743039851563,49.057158575,0.52365,243393.2084,33.3333333333333
"Acetate",3,"Illinois Basin",0.669831429,1.848482857,0.0133,0.0183,42,36,36,683142.9009,251808.4028,295653.7655,-0.471008836240143,-0.446715187580982,-0.399344878761247,-0.388359625465304,1.85032285969988,1.37621878176966,1.37621878176966,3.50591235232969,0.679746189861209,0.967027362569934,1.259157143,0.0158,410201.689733333,38
"Acetate",4,"Illinois Basin",0.625072857,1.163397143,0.003,0.00418,2,11,12,1545.9549,27209.0353,113528.8425,-0.471931372790664,-0.460835758974653,-0.421974500550889,-0.419381980773047,-1.31037099316824,-0.599214876272914,-0.520197529951211,-0.96000964953269,-0.791861426353997,-0.226281535726086,0.894235,0.00359,47427.9442333333,8.33333333333333
"Acetate",5,"Illinois Basin",0.008142857,-0.068698571,7e-05,-7e-05,28,28,24,179871.2305,345036.158,122603.1938,-0.484647159927772,-0.486230968855461,-0.428411858982312,-0.428719446074598,0.744080011196037,0.744080011196037,0.428010625909225,0.208403408160519,1.29058795723603,-0.166825070492307,-0.030277857,0,215836.860766667,26.6666666666667
"Acetate",6,"Cook Inlet gas field",69.96614286,76.16285714,0.5903,0.7562,8,NA,NA,45848.6462,NA,NA,0.957284723066949,1.08500764095708,0.868353351590566,1.23284405594995,-0.836266915238023,NA,NA,-0.66973199353746,NA,NA,73.0645,0.67325,45848.6462,8
"Acetate",7,"Cook Inlet gas field",95.06188571,70.17514286,0.5322,0.1558,NA,NA,NA,NA,NA,NA,1.4745429600277,0.961592504357623,0.740704708291709,-0.0862651598268739,NA,NA,NA,NA,NA,NA,82.618514285,0.344,NA,NA
"Acetate",8,"Cook Inlet gas field",20.61798571,108.9457286,-0.002,0.4583,10,NA,NA,149110.9414,NA,NA,-0.0598495740622928,1.76070831239229,-0.432959753846832,0.578342664577673,-0.678232222594617,NA,NA,0.00685753463288471,NA,NA,64.781857155,0.22815,149110.9414,10
"Acetate",9,"Cook Inlet gas field",-25.70455714,1.427442857,-0.1582,0.001,3,NA,NA,7383.8053,NA,NA,-1.01462174356313,-0.455393408799286,-0.776139066812089,-0.426368601869267,-1.23135364684654,NA,NA,-0.921759207393911,NA,NA,-12.1385571415,-0.0786,7383.8053,3
"Acetate",10,"Cook Inlet gas field",0.677322857,2.199982857,0.162,0.1368,1,NA,NA,7639.0289,NA,NA,-0.470854427467996,-0.439470282683031,-0.0726434457399046,-0.128009122351457,-1.38938833948994,NA,NA,-0.920086945366736,NA,NA,1.438652857,0.1494,7639.0289,1
"Acetate",11,"Cook Inlet gas field",2.513591429,1.424185714,0.2188,0.114,3,NA,NA,74839.7853,NA,NA,-0.433006372926779,-0.455460543056111,0.0521490317020069,-0.178101877380957,-1.23135364684654,NA,NA,-0.479777847284958,NA,NA,1.9688885715,0.1664,74839.7853,3
"Acetate",12,"Powder River Basin",107.9501678,-28.87966222,0.7317,-0.1895,26,NA,NA,184190.6877,NA,NA,1.74018841675608,-1.08006508451791,1.17901631479983,-0.844906752444692,0.586045318552631,NA,NA,0.236705117930185,NA,NA,39.53525279,0.2711,184190.6877,26
"Acetate",13,"Powder River Basin",-27.41913222,-22.12246,0.0742,0.0962,21,NA,NA,139690.8809,NA,NA,-1.04996152562572,-0.940789729012565,-0.265544493616662,-0.217209379114513,0.190958586944116,NA,NA,-0.0548640673970411,NA,NA,-24.77079611,0.0852,139690.8809,21
"Acetate",14,"Powder River Basin",78.04304889,1.577042222,0.1563,-0.0894,19,NA,NA,126165.8359,NA,NA,1.12376101341416,-0.452309957384722,-0.0851666344972796,-0.624981981459915,0.0329238943007097,NA,NA,-0.143482122973949,NA,NA,39.810045556,0.03345,126165.8359,19
"Acetate",15,"Powder River Basin",-1.075526667,0.94905,0.0867,0.0303,11,NA,NA,8864.715,NA,NA,-0.506983099165862,-0.465253752335059,-0.238081360376805,-0.361995017555041,-0.599214876272914,NA,NA,-0.912056072350813,NA,NA,-0.0632383335000001,0.0585,8864.715,11
"Acetate",16,"Powder River Basin",-3.683234444,-2.402528889,1e-04,0.0017,NA,NA,NA,NA,NA,NA,-0.560731590904167,-0.534334464451099,-0.428345947462536,-0.424830666407835,NA,NA,NA,NA,NA,NA,-3.0428816665,9e-04,NA,NA
"Acetate",17,"Powder River Basin",0.650264444,0.252151111,-0.0394,-0.068,NA,NA,NA,NA,NA,NA,-0.471412139072191,-0.479617809729919,-0.515129448500485,-0.577965097353279,NA,NA,NA,NA,NA,NA,0.4512077775,-0.0537,NA,NA
"Butyrate",1,"Illinois Basin",128.2537457,146.6303286,1.6953,2.9446,5,9,11,6268.7302,11354.0087,41607.8,2.15867345508795,2.53744044074891,3.29609432999395,6.04086971851825,-1.07331895420313,-0.75724956891632,-0.599214876272914,-0.929065341102467,-0.895745859153456,-0.697518632638825,137.44203715,2.31995,19743.5129666667,8.33333333333333
