Incubation Replicate,Site,Basin,Substrate,Rate,Unamended control rate,Adjusted Rate,Microarrary Replicate,Unique mcr genes,Quantity mcrgenes,Total Methane (microM),Unamended control total,Adjusted Total
O,1,Illinois Basin,Formate,0.3783,0.0015,0.3768,1,5,6268.7302,28.87728571,0.750825714,28.12646
X,1,Illinois Basin,Formate,0.4754,0.0051,0.4703,1,5,6268.7302,38.64871429,13.57495714,25.07375714
O,1,Illinois Basin,Acetate,1.8155,0.0015,1.814,1,5,6268.7302,70.52528571,0.750825714,69.77446
X,1,Illinois Basin,Acetate,0.6754,0.0051,0.6703,1,5,6268.7302,59.99385714,13.57495714,46.4189
O,1,Illinois Basin,Propionate,0.0824,0.0015,0.0809,1,5,6268.7302,18.81135714,0.750825714,18.06053143
X,1,Illinois Basin,Propionate,0.0819,0.0051,0.0768,1,5,6268.7302,17.5465,13.57495714,3.971542857
O,1,Illinois Basin,Butyrate,1.6968,0.0015,1.6953,1,5,6268.7302,129.0045714,0.750825714,128.2537457
X,1,Illinois Basin,Butyrate,2.9497,0.0051,2.9446,1,5,6268.7302,160.2052857,13.57495714,146.6303286
O,1,Illinois Basin,Valerate,0.4267,0.0015,0.4252,1,5,6268.7302,69.23142857,0.750825714,68.48060286
X,1,Illinois Basin,Valerate,0.5459,0.0051,0.5408,1,5,6268.7302,122.3085714,13.57495714,108.7336143
O,2,Illinois Basin,Formate,0.3467,0.0177,0.329,1,33,258549.7278,25.36825714,1.36496,24.00329714
X,2,Illinois Basin,Formate,0.4047,0.0134,0.3913,1,33,258549.7278,43.38514286,1.513865714,41.87127714
O,2,Illinois Basin,Acetate,0.6165,0.0177,0.5988,1,33,258549.7278,59.17414286,1.36496,57.80918286
X,2,Illinois Basin,Acetate,0.4619,0.0134,0.4485,1,33,258549.7278,41.819,1.513865714,40.30513429
O,2,Illinois Basin,Propionate,0.0239,0.0177,0.0062,1,33,258549.7278,2.45385,1.36496,1.08889
X,2,Illinois Basin,Propionate,0.0377,0.0134,0.0243,1,33,258549.7278,3.418371429,1.513865714,1.904505714
O,2,Illinois Basin,Butyrate,0.0067,0.0177,-0.011,1,33,258549.7278,35.22057143,1.36496,33.85561143
X,2,Illinois Basin,Butyrate,0.242,0.0134,0.2286,1,33,258549.7278,0.346967143,1.513865714,-1.166898571
O,2,Illinois Basin,Valerate,0.0108,0.0177,-0.0069,1,33,258549.7278,1.852114286,1.36496,0.487154286
X,2,Illinois Basin,Valerate,0.0239,0.0134,0.0105,1,33,258549.7278,1.502248571,1.513865714,-0.011617143
O,3,Illinois Basin,Formate,0.01,0.0011,0.0089,1,42,683142.9009,7.1155,0.939767143,6.175732857
X,3,Illinois Basin,Formate,0.0235,0.0006,0.0229,1,42,683142.9009,3.016657143,0.509851429,2.506805714
O,3,Illinois Basin,Acetate,0.0144,0.0011,0.0133,1,42,683142.9009,1.609598571,0.939767143,0.669831429
X,3,Illinois Basin,Acetate,0.0189,0.0006,0.0183,1,42,683142.9009,2.358334286,0.509851429,1.848482857
O,3,Illinois Basin,Propionate,0.0063,0.0011,0.0052,1,42,683142.9009,1.576484286,0.939767143,0.636717143
X,3,Illinois Basin,Propionate,0.0039,0.0006,0.0033,1,42,683142.9009,1.519674286,0.509851429,1.009822857
O,3,Illinois Basin,Butyrate,0.1775,0.0011,0.1764,1,42,683142.9009,33.03557143,0.939767143,32.09580429
X,3,Illinois Basin,Butyrate,0.005,0.0006,0.0044,1,42,683142.9009,2.43561,0.509851429,1.925758571
O,3,Illinois Basin,Valerate,0.00002,0.0011,-0.00108,1,42,683142.9009,0.288457143,0.939767143,-0.65131
X,3,Illinois Basin,Valerate,0.0046,0.0006,0.004,1,42,683142.9009,1.624257143,0.509851429,1.114405714
O,4,Illinois Basin,Formate,0.0138,0.0017,0.0121,1,2,1545.9549,2.594205714,0.982435714,1.61177
X,4,Illinois Basin,Formate,0.0099,0.00002,0.00988,1,2,1545.9549,4.478571429,0.295938571,4.182632857
O,4,Illinois Basin,Acetate,0.0047,0.0017,0.003,1,2,1545.9549,1.607508571,0.982435714,0.625072857
X,4,Illinois Basin,Acetate,0.0042,0.00002,0.00418,1,2,1545.9549,1.459335714,0.295938571,1.163397143
O,4,Illinois Basin,Propionate,0.0116,0.0017,0.0099,1,2,1545.9549,5.996942857,0.982435714,5.014507143
X,4,Illinois Basin,Propionate,0.0009,0.00002,0.00088,1,2,1545.9549,0.72352,0.295938571,0.427581429
O,4,Illinois Basin,Butyrate,0.007,0.0017,0.0053,1,2,1545.9549,1.698328571,0.982435714,0.715892857
X,4,Illinois Basin,Butyrate,0.0016,0.00002,0.00158,1,2,1545.9549,1.092798571,0.295938571,0.79686
O,4,Illinois Basin,Valerate,0.0019,0.0017,0.0002,1,2,1545.9549,1.091571429,0.982435714,0.109135714
X,4,Illinois Basin,Valerate,0.0016,0.00002,0.00158,1,2,1545.9549,0.877742857,0.295938571,0.581804286
O,5,Illinois Basin,Formate,0.0151,0.00003,0.01507,1,28,179871.2305,2.380781429,0.347184286,2.033597143
