GenbankID,GeneName,GeneCategory,Replicate,10,11,9
88814759,SMR_antibiotics,Antibiotic resistance,1,4440.6162,8555.9192,NA
88800946,SMR_antibiotics,Antibiotic resistance,1,9975.8276,13329.4258,NA
163800766,SMR_antibiotics,Antibiotic resistance,1,12018.7371,16091.9202,10441.3497
116496204,SMR_antibiotics,Antibiotic resistance,1,10484.128,10867.0881,15720.5226
86285381,MFS_antibiotic,Antibiotic resistance,1,13746.9273,14545.6074,6077.5766
167360981,Tet,Antibiotic resistance,1,6164.6073,8644.3485,2990.9232
116106354,SMR_antibiotics,Antibiotic resistance,1,6874.6097,8826.6685,9225.1361
48810,B_lactamase,Antibiotic resistance,1,11014.4122,13711.7704,3963.381
39983462,MFS_antibiotic,Antibiotic resistance,1,20964.2888,38616.8962,12050.6075
156933871,MFS_antibiotic,Antibiotic resistance,1,5117.595,3519.4509,NA
110637143,MATE_antibiotic,Antibiotic resistance,1,23105.5682,7144.5745,13347.1124
146311546,Mex,Antibiotic resistance,1,6717.9044,6504.2771,2750.3786
32397293,Mex,Antibiotic resistance,1,16122.7252,15466.8227,6860.6845
170782088,SMR_antibiotics,Antibiotic resistance,1,5085.3325,NA,3402.9758
46913795,MATE_antibiotic,Antibiotic resistance,1,28830.6538,17325.966,5483.6166
188021233,SMR_antibiotics,Antibiotic resistance,1,9484.7573,15373.7159,5309.4287
123441449,MFS_antibiotic,Antibiotic resistance,1,23255.0693,19931.374,5098.4627
27802509,B_lactamase_C,Antibiotic resistance,1,10647.3609,NA,NA
15613404,SMR_antibiotics,Antibiotic resistance,1,12466.2745,17147.3615,5303.3722
13476126,Mex,Antibiotic resistance,1,8169.3652,4657.8458,4694.2495
94502842,B_lactamase_C,Antibiotic resistance,1,5252.5642,9333.6344,2111.5067
145224137,SMR_antibiotics,Antibiotic resistance,1,6726.492,13313.5479,2191.764
148871096,SMR_antibiotics,Antibiotic resistance,1,6512.1178,6071.2073,2428.9953
211638163,B_lactamase_A,Antibiotic resistance,1,8224.3189,4460.6735,2475.8348
83838965,SMR_antibiotics,Antibiotic resistance,1,5110.7869,4285.0838,NA
23347745,SMR_antibiotics,Antibiotic resistance,1,9139.4483,15223.9752,3801.5479
133919284,B_lactamase_A,Antibiotic resistance,1,7748.4319,17994.0412,3009.988
56542578,SMR_antibiotics,Antibiotic resistance,1,28943.2828,28169.7102,13396.5399
83815232,MATE_antibiotic,Antibiotic resistance,1,20545.1556,6446.7478,4413.7602
148556953,MFS_antibiotic,Antibiotic resistance,1,7232.042,4797.003,7073.4408
19913945,MFS_antibiotic,Antibiotic resistance,1,15735.9619,3521.6655,NA
148500227,SMR_antibiotics,Antibiotic resistance,1,6352.9072,12672.4801,3095.9508
145299157,MATE_antibiotic,Antibiotic resistance,1,7678.3287,34501.963,3345.8382
21673213,SMR_antibiotics,Antibiotic resistance,1,7269.9803,6077.0126,2404.2552
148830696,B_lactamase_A,Antibiotic resistance,1,9260.75,18407.6345,2192.3153
149927866,B_lactamase,Antibiotic resistance,1,4920.2721,NA,NA
108462113,SMR_antibiotics,Antibiotic resistance,1,8709.0512,NA,NA
21213052,B_lactamase_C,Antibiotic resistance,1,15119.4517,18212.1116,7894.6763
119957137,SMR_antibiotics,Antibiotic resistance,1,8720.1154,12615.1465,NA
117620009,MATE_antibiotic,Antibiotic resistance,1,6728.8447,6899.1427,NA
104781857,MFS_antibiotic,Antibiotic resistance,1,3976.6707,NA,2421.1614
71845711,SMR_antibiotics,Antibiotic resistance,1,6690.6898,12215.7601,NA
37522556,SMR_antibiotics,Antibiotic resistance,1,4880.5768,4573.672,NA
149811065,SMR_antibiotics,Antibiotic resistance,1,5586.5938,NA,NA
170144036,MFS_antibiotic,Antibiotic resistance,1,10513.2161,4650.0454,NA
77959247,SMR_antibiotics,Antibiotic resistance,1,17126.4948,30706.6264,4570.4864
158142077,Van,Antibiotic resistance,1,5918.3557,15043.6493,NA
45911,SMR_antibiotics,Antibiotic resistance,1,9411.2262,NA,NA
33188340,B_lactamase_A,Antibiotic resistance,1,9471.0735,13096.5245,2747.1464
110340092,MFS_antibiotic,Antibiotic resistance,1,11432.7337,8454.7468,3545.8226
160347661,SMR_antibiotics,Antibiotic resistance,1,3755.5522,NA,NA
188535448,SMR_antibiotics,Antibiotic resistance,1,11169.7184,13833.9061,2440.1105
154351471,B_lactamase_B,Antibiotic resistance,1,6019.7254,10711.8973,4327.9997
118439326,B_lactamase_A,Antibiotic resistance,1,14230.7889,11865.9069,5893.0685
39575451,SMR_antibiotics,Antibiotic resistance,1,5571.0406,3589.5856,NA
198248454,ABC_antibiotic_transporter,Antibiotic resistance,1,12326.5928,5481.2366,NA
145228641,MFS_antibiotic,Antibiotic resistance,1,18837.6348,7337.1297,2226.6745
190697764,Tet,Antibiotic resistance,1,9037.2445,5153.947,3177.7222
170139222,MFS_antibiotic,Antibiotic resistance,1,5147.3181,4846.7038,NA
29467421,Tet,Antibiotic resistance,1,18501.2051,30095.1321,9008.5545
118473855,B_lactamase_C,Antibiotic resistance,1,44035.2513,48543.4923,20198.8644
121306717,MFS_antibiotic,Antibiotic resistance,1,7713.0006,11283.7648,3604.2173
170696695,MFS_antibiotic,Antibiotic resistance,1,11264.769,9490.7656,4598.5005
90416954,MATE_antibiotic,Antibiotic resistance,1,4778.682,3969.5341,2416.1653
126650744,SMR_antibiotics,Antibiotic resistance,1,5058.8418,NA,NA
67086625,SMR_antibiotics,Antibiotic resistance,1,8046.7517,17542.2322,3811.5212
118171099,SMR_antibiotics,Antibiotic resistance,1,8926.4454,14731.9381,NA
16200253,B_lactamase_C,Antibiotic resistance,1,9736.751,3693.9819,2168.244
77957789,SMR_antibiotics,Antibiotic resistance,1,51235.4823,55036.2936,20047.5892
114539953,MFS_antibiotic,Antibiotic resistance,1,14327.034,19949.5287,2710.3052
155793486,B_lactamase_A,Antibiotic resistance,1,5456.2507,3006.032,NA
41398045,SMR_antibiotics,Antibiotic resistance,1,14926.0001,36172.6926,4003.4939
84686857,SMR_antibiotics,Antibiotic resistance,1,7656.8837,9186.01,NA
14318319,B_lactamase_C,Antibiotic resistance,1,7261.0574,9407.2646,3790.6688
167352467,MFS_antibiotic,Antibiotic resistance,1,4411.8409,NA,2626.8162
68347612,MATE_antibiotic,Antibiotic resistance,1,11869.3625,7539.0003,17770.9529
157083059,SMR_antibiotics,Antibiotic resistance,1,6373.5544,5211.5201,NA
163813348,SMR_antibiotics,Antibiotic resistance,1,8587.5614,9909.4325,5031.4163
183983051,B_lactamase_A,Antibiotic resistance,1,11955.3574,13572.8114,5034.8724
87119695,SMR_antibiotics,Antibiotic resistance,1,3555.8974,NA,NA
56378985,SMR_antibiotics,Antibiotic resistance,1,8695.4175,6836.0445,3195.0867
40431,B_lactamase_A,Antibiotic resistance,1,8261.2143,6970.4177,2994.8788
171914406,B_lactamase_A,Antibiotic resistance,1,30266.4113,38487.4135,9201.3408
52080336,SMR_antibiotics,Antibiotic resistance,1,49432.065,50191.5673,18224.0997
170695798,MFS_antibiotic,Antibiotic resistance,1,5972.6929,5236.0508,NA
119773542,MFS_antibiotic,Antibiotic resistance,1,9898.7411,24097.7062,2770.0056
182413844,SMR_antibiotics,Antibiotic resistance,1,5330.0881,7559.6353,NA
13474071,SMR_antibiotics,Antibiotic resistance,1,4077.9486,NA,NA
167070013,SMR_antibiotics,Antibiotic resistance,1,4821.113,2888.0567,NA
89099463,SMR_antibiotics,Antibiotic resistance,1,15365.0199,22550.1334,9048.3184
77977156,SMR_antibiotics,Antibiotic resistance,1,11485.5107,36659.108,8909.4592
30139240,SMR_antibiotics,Antibiotic resistance,1,8039.3462,1897.4757,NA
119954182,SMR_antibiotics,Antibiotic resistance,1,8338.6618,11178.0945,NA
50236435,B_lactamase,Antibiotic resistance,1,8227.6403,9650.3185,3324.8086
111150931,MFS_antibiotic,Antibiotic resistance,1,4535.0617,NA,NA
190013159,SMR_antibiotics,Antibiotic resistance,1,11474.7366,9806.1599,NA
58428200,MFS_antibiotic,Antibiotic resistance,1,14471.2498,12274.51,3553.8922
94422964,B_lactamase_A,Antibiotic resistance,1,3479.9693,NA,NA
187918734,B_lactamase_A,Antibiotic resistance,1,5408.8059,21625.2649,3499.6982
7110137,Van,Antibiotic resistance,1,6579.6931,5024.3588,9828.9881
56908432,SMR_antibiotics,Antibiotic resistance,1,7136.7108,NA,4614.6075
20136445,B_lactamase_C,Antibiotic resistance,1,10899.3654,25530.5035,2275.0813
148259577,MFS_antibiotic,Antibiotic resistance,1,23560.3887,45561.7845,10730.6387
87286606,MFS_antibiotic,Antibiotic resistance,1,6195.1409,16837.6713,2661.8656
94497881,MFS_antibiotic,Antibiotic resistance,1,4728.5846,NA,NA
63255724,MFS_antibiotic,Antibiotic resistance,1,13297.9498,9554.5453,3311.1357
121638950,SMR_antibiotics,Antibiotic resistance,1,6294.1365,NA,NA
156932384,SMR_antibiotics,Antibiotic resistance,1,4019.7727,NA,NA
197335031,MFS_antibiotic,Antibiotic resistance,1,8171.3903,9774.8439,2091.3507
88776321,SMR_antibiotics,Antibiotic resistance,1,NA,9162.9748,3179.1856
187717114,MFS_antibiotic,Antibiotic resistance,1,NA,47450.7023,NA
73542293,SMR_antibiotics,Antibiotic resistance,1,NA,3275.6529,NA
157933073,B_lactamase_C,Antibiotic resistance,1,NA,5233.6542,NA
13274146,B_lactamase_B,Antibiotic resistance,1,NA,4461.2994,NA
90324381,MFS_antibiotic,Antibiotic resistance,1,NA,8707.023,NA
109702704,Mex,Antibiotic resistance,1,NA,3703.0363,NA
167570734,MATE_antibiotic,Antibiotic resistance,1,NA,4226.6303,10735.1501
50121906,SMR_antibiotics,Antibiotic resistance,1,NA,34091.6327,2627.5502
170124150,B_lactamase_C,Antibiotic resistance,1,NA,6228.0004,4545.1077
83645112,B_lactamase_A,Antibiotic resistance,1,NA,8540.4734,2335.8236
184201855,SMR_antibiotics,Antibiotic resistance,1,NA,3779.5496,NA
115368536,SMR_antibiotics,Antibiotic resistance,1,NA,14920.8178,NA
216996,B_lactamase_A,Antibiotic resistance,1,NA,3071.651,NA
83591568,B_lactamase_A,Antibiotic resistance,1,NA,3728.1147,NA
71038277,SMR_antibiotics,Antibiotic resistance,1,NA,2779.3786,NA
148502595,MFS_antibiotic,Antibiotic resistance,1,NA,7530.4184,NA
2062565,B_lactamase_A,Antibiotic resistance,1,NA,7069.923,NA
33152878,SMR_antibiotics,Antibiotic resistance,1,NA,8089.0157,NA
29348350,Mex,Antibiotic resistance,1,NA,2545.3108,2360.1741
17428871,MFS_antibiotic,Antibiotic resistance,1,NA,4719.5371,NA
30249101,Mex,Antibiotic resistance,1,NA,2947.7123,NA
17548533,Mex,Antibiotic resistance,1,NA,6994.7622,NA
167566792,B_lactamase,Antibiotic resistance,1,NA,6225.3246,NA
15074066,MFS_antibiotic,Antibiotic resistance,1,NA,2748.9751,NA
170140687,MFS_antibiotic,Antibiotic resistance,1,NA,2478.936,NA
40252999,B_lactamase_A,Antibiotic resistance,1,NA,6781.1476,2519.8876
116693756,SMR_antibiotics,Antibiotic resistance,1,NA,3931.4999,NA
