GenbankID,GeneName,GeneCategory,Replicate,14,12,13,15
86,CODH,Carbon cycling,1,4390.9241,6510.2618,5530.9181,894.57
2693,amyA,Carbon cycling,1,NA,NA,33435.1619,NA
2786,glucoamylase,Carbon cycling,1,NA,NA,NA,409.86
2788,glucoamylase,Carbon cycling,1,NA,NA,NA,382.04
3153,mnp,Carbon cycling,1,1354.1889,4969.6929,NA,NA
15075,RNA_dependent__RNA_polymerase,Bacteria phage,1,1978.2965,4993.4272,2494.2997,214.75
15116,Host_recognition_T2_type,Bacteria phage,1,3630.0269,14704.345,NA,589.015
15126,Host_recognition_T2_type,Bacteria phage,1,NA,NA,NA,NA
15265,scaffold,Bacteria phage,1,NA,NA,8823.0317,NA
15335,T4_type_portal_protein,Bacteria phage,1,NA,NA,4775.9444,NA
15687,DNA_ligase,Bacteria phage,1,3152.1588,5185.3159,4471.1371,NA
38702,fnr,Stress,1,NA,NA,NA,358.8
39301,nplT,Carbon cycling,1,NA,NA,NA,268.37
39625,cda,Carbon cycling,1,NA,3178.2645,NA,NA
43952,xylA,Carbon cycling,1,1484.4363,6234.0624,4829.3037,NA
44366,nifH,Nitrogen,1,NA,1760.1914,NA,NA
44712,glnA,Stress,1,NA,NA,1965.3828,NA
45543,rubisco,Carbon cycling,1,NA,5596.6617,2384.4499,NA
45822,amyA,Carbon cycling,1,NA,3658.468,1491.6772,NA
45990,B_lactamase_A,Antibiotic resistance,1,14091.9032,6987.254,NA,NA
46015,nifH,Nitrogen,1,7050.5467,NA,5169.1814,NA
46106,nifH,Nitrogen,1,22484.3592,8120.282,11904.3231,NA
47182,merB,Metal Resistance,1,10417.4827,NA,NA,NA
48131,amyA,Carbon cycling,1,925.4654,7285.1151,NA,NA
48155,mer,Metal Resistance,1,913.3675,NA,NA,NA
48156,metC,Metal Resistance,1,NA,NA,NA,212.9
48290,amyA,Carbon cycling,1,1479.8671,NA,NA,NA
48745,sigma_32,Stress,1,1214.5954,6697.7131,NA,NA
48810,B_lactamase,Antibiotic resistance,1,1842.6232,NA,NA,NA
141994,xylA,Carbon cycling,1,NA,NA,NA,1940.8533
142057,nifH,Nitrogen,1,1249.3575,NA,NA,NA
142202,Catechol,Organic Remediation,1,NA,NA,NA,320.56
142230,cellobiase,Carbon cycling,1,7033.1787,4745.487,6447.6023,NA
142688,endochitinase,Carbon cycling,1,2183.9612,7612.3739,4203.5573,770.04
143753,CadA,Metal Resistance,1,NA,NA,3287.9327,NA
144416,endoglucanase,Carbon cycling,1,2504.4005,2743.2525,NA,NA
144429,xylanase,Carbon cycling,1,NA,7140.4906,NA,NA
144720,nplT,Carbon cycling,1,NA,8863.0224,11214.4689,896.71
144753,endoglucanase,Carbon cycling,1,NA,NA,1383.0875,NA
144770,endoglucanase,Carbon cycling,1,3347.465,2732.3342,8073.1267,NA
145065,pilin,virulence,1,2472.8057,NA,NA,NA
145094,hydrogenase,Energy process,1,NA,NA,NA,NA
145097,hydrogenase,Energy process,1,NA,NA,NA,662.95
148325,Van,Antibiotic resistance,1,NA,NA,NA,NA
149677,katE,Stress,1,3799.32,10713.5677,7789.3292,739.13
149759,pilin,virulence,1,NA,NA,14992.9074,NA
149800,mcrA,Carbon cycling,1,NA,NA,1274.8986,NA
149828,cellobiase,Carbon cycling,1,NA,NA,NA,698.25
149983,adpB,Organic Remediation,1,1370.9339,NA,NA,NA
150670,gdh,Nitrogen,1,NA,3306.2195,NA,NA
151073,HcaB,Organic Remediation,1,842.4933,NA,7105.7845,NA
151208,endoglucanase,Carbon cycling,1,NA,8435.2504,4652.3491,NA
151248,dehH109,Organic Remediation,1,NA,NA,NA,NA
151474,pilin,virulence,1,NA,NA,NA,NA
151578,catB,Organic Remediation,1,NA,3178.7608,2688.8849,557.97
151636,vanA,Carbon cycling,1,1814.5505,3898.5551,4195.4245,NA
151872,fnr,Stress,1,1013.0845,2439.2609,NA,NA
152056,AmiE,Organic Remediation,1,NA,NA,3775.2406,NA
