GenbankID,GeneCategory
91774326,Methane Production
82523664,Methane Production
124363917,Methane Production
48527128,Methane Production
262284393,Methane Production
56967343,Methane Production
48527126,Methane Production
217035791,Methane Production
167541394,Methane Production
219852885,Methane Production
61398346,Methane Production
61398352,Methane Production
124109821,Methane Production
167541278,Methane Production
266631213,Methane Production
112441755,Methane Production
154240552,Methane Production
187729502,Methane Production
119395259,Methane Production
167541078,Methane Production
188572649,Methane Production
22023074,Methane Production
215414289,Methane Production
169807159,Methane Production
188572637,Methane Production
167541398,Methane Production
94449468,Methane Production
145553678,Methane Production
48527134,Methane Production
209486319,Methane Production
169807131,Methane Production
32345334,Methane Production
209486575,Methane Production
147919724,Methane Production
34017056,Methane Production
13259303,Methane Production
261599977,Methane Production
110592168,Methane Production
167541492,Methane Production
167541210,Methane Production
126178328,Methane Production
94449436,Methane Production
125745171,Methane Production
13259305,Methane Production
163140820,Methane Production
266631187,Methane Production
21530832,Methane Production
125745197,Methane Production
187236228,Methane Production
211958930,Methane Production
112441864,Methane Production
68184737,Methane Production
62512329,Methane Production
268323819,Methane Production
145553716,Methane Production
34017032,Methane Production
238837030,Methane Production
33415447,Methane Production
12802200,Methane Production
238836974,Methane Production
126013316,Methane Production
145046202,Methane Production
56967347,Methane Production
119395258,Methane Production
123204120,Methane Production
55163264,Methane Production
238837002,Methane Production
55724922,Methane Production
112441874,Methane Production
151302159,Sulfate Reduction
151302323,Sulfate Reduction
225172788,Sulfate Reduction
158251620,Sulfate Reduction
151302311,Sulfate Reduction
151302123,Sulfate Reduction
157804816,Sulfate Reduction
218675776,Sulfate Reduction
157804727,Sulfate Reduction
145591452,Sulfate Reduction
219992370,Sulfate Reduction
151302302,Sulfate Reduction
157804813,Sulfate Reduction
193160552,Sulfate Reduction
151302217,Sulfate Reduction
151302203,Sulfate Reduction
126460036,Sulfate Reduction
151302338,Sulfate Reduction
78356157,Sulfate Reduction
158251624,Sulfate Reduction
110826492,Sulfate Reduction
228565769,Sulfate Reduction
40313563,Sulfate Reduction
158251644,Sulfate Reduction
151302256,Sulfate Reduction
257798314,Sulfate Reduction
151302334,Sulfate Reduction
1183904,Sulfate Reduction
157804846,Sulfate Reduction
151302143,Sulfate Reduction
151302384,Sulfate Reduction
157804738,Sulfate Reduction
151302326,Sulfate Reduction
18034187,Sulfate Reduction
116748490,Sulfate Reduction
156857651,Sulfate Reduction
151302287,Sulfate Reduction
157804842,Sulfate Reduction
219808356,Sulfate Reduction
169832029,Sulfate Reduction
76666802,Sulfate Reduction
222353926,Sulfate Reduction
156523009,Sulfate Reduction
151302277,Sulfate Reduction
227420837,Sulfate Reduction
151302317,Sulfate Reduction
224027919,Sulfate Reduction
157804845,Sulfate Reduction
18034155,Sulfate Reduction
157804875,Sulfate Reduction
157011638,Sulfate Reduction
93454938,Sulfate Reduction
218675774,Sulfate Reduction
157011584,Sulfate Reduction
159040859,Sulfate Reduction
156857711,Sulfate Reduction
160879970,Sulfate Reduction
157804726,Sulfate Reduction
151302308,Sulfate Reduction
156523017,Sulfate Reduction
18034235,Sulfate Reduction
151302179,Sulfate Reduction
47716866,Sulfate Reduction
189458602,Sulfate Reduction
151302114,Sulfate Reduction
156857691,Sulfate Reduction
189496207,Sulfate Reduction
2576391,Sulfate Reduction
224027921,Sulfate Reduction
152069377,Sulfate Reduction
157804754,Sulfate Reduction
227420838,Sulfate Reduction
74057796,Sulfate Reduction
151302305,Sulfate Reduction
151302253,Sulfate Reduction
151302177,Sulfate Reduction
156857677,Sulfate Reduction
151302272,Sulfate Reduction
151302227,Sulfate Reduction
151302314,Sulfate Reduction
224027949,Sulfate Reduction
110589044,Sulfate Reduction
157804763,Sulfate Reduction
18034263,Sulfate Reduction
157804834,Sulfate Reduction
18034255,Sulfate Reduction
116748489,Sulfate Reduction
110826490,Sulfate Reduction
156857781,Sulfate Reduction
74057795,Sulfate Reduction
219564332,Sulfate Reduction
151302200,Sulfate Reduction
78218561,Sulfate Reduction
158251628,Sulfate Reduction
151302337,Sulfate Reduction
18034223,Sulfate Reduction
157804730,Sulfate Reduction
157804798,Sulfate Reduction
156523001,Sulfate Reduction
224495601,Sulfate Reduction
218758930,Sulfate Reduction
151302180,Sulfate Reduction
151302293,Sulfate Reduction
224027838,Sulfate Reduction
194335219,Sulfate Reduction
156857765,Sulfate Reduction
157804790,Sulfate Reduction
151302290,Sulfate Reduction
186911824,Sulfate Reduction
157011530,Sulfate Reduction
206586502,Sulfate Reduction
134298506,Sulfate Reduction
224817502,Sulfate Reduction
157804871,Sulfate Reduction
151302138,Sulfate Reduction
157011616,Sulfate Reduction
104304381,Sulfate Reduction
255110080,Sulfate Reduction
156857767,Sulfate Reduction
157804872,Sulfate Reduction
157804864,Sulfate Reduction
157804772,Sulfate Reduction
157804777,Sulfate Reduction
157804747,Sulfate Reduction
219994847,Sulfate Reduction
151302183,Sulfate Reduction
220898656,Sulfate Reduction
151302126,Sulfate Reduction
126460037,Sulfate Reduction
151302320,Sulfate Reduction
151302230,Sulfate Reduction
151302301,Sulfate Reduction
224610357,Sulfate Reduction
156857649,Sulfate Reduction
157804843,Sulfate Reduction
255258544,Sulfate Reduction
151302289,Sulfate Reduction
151302120,Sulfate Reduction
46519977,Sulfate Reduction
144905828,Sulfate Reduction
53854604,Sulfate Reduction
110808292,Sulfate Reduction
13249575,Sulfate Reduction
13249561,Sulfate Reduction
219965760,Sulfate Reduction
160931195,Sulfate Reduction
28203340,Sulfate Reduction
126635904,Sulfate Reduction
88643146,Sulfate Reduction
55978112,Sulfate Reduction
46307950,Sulfate Reduction
76666836,Sulfate Reduction
14276189,Sulfate Reduction
114227201,Sulfate Reduction
88062457,Sulfate Reduction
14276800,Sulfate Reduction
90954613,Sulfate Reduction
169832337,Sulfate Reduction
13249523,Sulfate Reduction
126460064,Sulfate Reduction
109452455,Sulfate Reduction
121998731,Sulfate Reduction
34017210,Sulfate Reduction
160863276,Sulfate Reduction
158523640,Sulfate Reduction
126249775,Sulfate Reduction
229473067,Sulfate Reduction
33320472,Sulfate Reduction
18034320,Sulfate Reduction
118424472,Sulfate Reduction
229611196,Sulfate Reduction
14276799,Sulfate Reduction
229473037,Sulfate Reduction
219938983,Sulfate Reduction
237846101,Sulfate Reduction
109452501,Sulfate Reduction
116743242,Sulfate Reduction
157679004,Sulfate Reduction
154150413,Sulfate Reduction
30025895,Sulfate Reduction
63029754,Sulfate Reduction
88643409,Sulfate Reduction
229610701,Sulfate Reduction
90954571,Sulfate Reduction
126635911,Sulfate Reduction
229473039,Sulfate Reduction
219939246,Sulfate Reduction
52631734,Sulfate Reduction
229610707,Sulfate Reduction
70930952,Sulfate Reduction
146188565,Sulfate Reduction
237846178,Sulfate Reduction
37726805,Sulfate Reduction
189345315,Sulfate Reduction
62512309,Sulfate Reduction
158523904,Sulfate Reduction
78700534,Sulfate Reduction
225194140,Sulfate Reduction
225905991,Sulfate Reduction
225194052,Sulfate Reduction
70930928,Sulfate Reduction
148750447,Sulfate Reduction
219939239,Sulfate Reduction
212672825,Sulfate Reduction
52631732,Sulfate Reduction
55978124,Sulfate Reduction
218142839,Sulfate Reduction
12667630,Sulfate Reduction
219666322,Sulfate Reduction
88643342,Sulfate Reduction
88062471,Sulfate Reduction
255510429,Sulfate Reduction
116743200,Sulfate Reduction
90954583,Sulfate Reduction
109452408,Sulfate Reduction
157678998,Sulfate Reduction
82618383,Sulfate Reduction
60476298,Sulfate Reduction
60476340,Sulfate Reduction
219965718,Sulfate Reduction
144906068,Sulfate Reduction
55978089,Sulfate Reduction
62512311,Sulfate Reduction
63029731,Sulfate Reduction
118424397,Sulfate Reduction
33320478,Sulfate Reduction
193085181,Sulfate Reduction
118424419,Sulfate Reduction
33320471,Sulfate Reduction
119673096,Sulfate Reduction
46519999,Sulfate Reduction
116743257,Sulfate Reduction
62512297,Sulfate Reduction
171465226,Sulfate Reduction
46520013,Sulfate Reduction
14389261,Sulfate Reduction
109452506,Sulfate Reduction
34604741,Sulfate Reduction
14276188,Sulfate Reduction
209171678,Sulfate Reduction
144905985,Sulfate Reduction
56694506,Sulfate Reduction
88062456,Sulfate Reduction
229610697,Sulfate Reduction
33243251,Sulfate Reduction
55978116,Sulfate Reduction
157679028,Sulfate Reduction
15077499,Sulfate Reduction
20502025,Sulfate Reduction
121534441,Sulfate Reduction
157679463,Sulfate Reduction
219852472,Sulfate Reduction
222138054,Sulfate Reduction
60476334,Sulfate Reduction
12667600,Sulfate Reduction
13249525,Sulfate Reduction
82618375,Sulfate Reduction
118424458,Sulfate Reduction
257219392,Sulfate Reduction
116700521,Sulfate Reduction
20086261,Sulfate Reduction
12667608,Sulfate Reduction
118424388,Sulfate Reduction
157679411,Sulfate Reduction
219996663,Sulfate Reduction
225194049,Sulfate Reduction
46308014,Sulfate Reduction
20502031,Sulfate Reduction
154151018,Sulfate Reduction
20502015,Sulfate Reduction
78355574,Sulfate Reduction
60593160,Sulfate Reduction
171465194,Sulfate Reduction
118424415,Sulfate Reduction
219965904,Sulfate Reduction
46307958,Sulfate Reduction
219939174,Sulfate Reduction
37726819,Sulfate Reduction
153999570,Sulfate Reduction
146188529,Sulfate Reduction
146188517,Sulfate Reduction
70930911,Sulfate Reduction
219965694,Sulfate Reduction
84663553,Sulfate Reduction
70930923,Sulfate Reduction
209171676,Sulfate Reduction
91202266,Sulfate Reduction
223470359,Sulfate Reduction
118424454,Sulfate Reduction
74318503,Sulfate Reduction
257796609,Sulfate Reduction
118424304,Sulfate Reduction
109452546,Sulfate Reduction
84778387,Sulfate Reduction
225194113,Sulfate Reduction
82618393,Sulfate Reduction
33320460,Sulfate Reduction
109452500,Sulfate Reduction
55978076,Sulfate Reduction
82618379,Sulfate Reduction
158514478,Sulfate Reduction
151357412,Sulfate Reduction
90954597,Sulfate Reduction
33320489,Sulfate Reduction
56675807,Sulfate Reduction
117609203,Sulfate Reduction
237846121,Sulfate Reduction
183976694,Sulfate Reduction
149939131,Sulfate Reduction
209869148,Sulfate Reduction
15077498,Sulfate Reduction
33320448,Sulfate Reduction
90954589,Sulfate Reduction
15077489,Sulfate Reduction
88062468,Sulfate Reduction
118424446,Sulfate Reduction
157679062,Sulfate Reduction
33320447,Sulfate Reduction
116743267,Sulfate Reduction
40736913,Sulfate Reduction
219939155,Sulfate Reduction
109290332,Sulfate Reduction
109452555,Sulfate Reduction
218251368,Sulfate Reduction
34017190,Sulfate Reduction
109452398,Sulfate Reduction
222138075,Sulfate Reduction
237846170,Sulfate Reduction
151357392,Sulfate Reduction
46307864,Sulfate Reduction
37726853,Sulfate Reduction
63029763,Sulfate Reduction
70930941,Sulfate Reduction
153810913,Sulfate Reduction
261249777,Sulfate Reduction
120563803,Sulfate Reduction
222477152,Sulfate Reduction
116077899,Sulfate Reduction
46307971,Sulfate Reduction
126952486,Sulfate Reduction
109452554,Sulfate Reduction
219546032,Sulfate Reduction
63029785,Sulfate Reduction
109452488,Sulfate Reduction
218757603,Sulfate Reduction
74057997,Sulfate Reduction
40253061,Sulfate Reduction
92111140,Sulfate Reduction
14276809,Sulfate Reduction
46519947,Sulfate Reduction
225194062,Sulfate Reduction
13992710,Sulfate Reduction
118424359,Sulfate Reduction
110598809,Sulfate Reduction
55978109,Sulfate Reduction
166200720,Sulfate Reduction
88866443,Sulfate Reduction
46307952,Sulfate Reduction
146188527,Sulfate Reduction
118424317,Sulfate Reduction
118424413,Sulfate Reduction
118424310,Sulfate Reduction
90954651,Sulfate Reduction
223470353,Sulfate Reduction
237846110,Sulfate Reduction
195537609,Sulfate Reduction
142190,Sulfate Reduction
63029761,Sulfate Reduction
109452473,Sulfate Reduction
256577271,Sulfate Reduction
18034308,Sulfate Reduction
62512303,Sulfate Reduction
157679034,Sulfate Reduction
52631684,Sulfate Reduction
37726850,Sulfate Reduction
46307838,Sulfate Reduction
46307974,Sulfate Reduction
46520007,Sulfate Reduction
109452446,Sulfate Reduction
88062453,Sulfate Reduction
40253092,Sulfate Reduction
46307967,Sulfate Reduction
115432148,Sulfate Reduction
209869140,Sulfate Reduction
37726807,Sulfate Reduction
157679469,Sulfate Reduction
223470335,Sulfate Reduction
162072792,Sulfate Reduction
219965663,Sulfate Reduction
229611232,Sulfate Reduction
219939001,Sulfate Reduction
46307862,Sulfate Reduction
144906122,Sulfate Reduction
229611223,Sulfate Reduction
46520025,Sulfate Reduction
157679439,Sulfate Reduction
251848602,Sulfate Reduction
88866427,Sulfate Reduction
18160993,Sulfate Reduction
40253032,Sulfate Reduction
118424524,Sulfate Reduction
83573379,Sulfate Reduction
46307932,Sulfate Reduction
90954577,Sulfate Reduction
88866431,Sulfate Reduction
118424511,Sulfate Reduction
18034328,Sulfate Reduction
146188551,Sulfate Reduction
46308010,Sulfate Reduction
40253077,Sulfate Reduction
12667572,Sulfate Reduction
37726810,Sulfate Reduction
261371012,Sulfate Reduction
90954563,Sulfate Reduction
109290330,Sulfate Reduction
18034329,Sulfate Reduction
223984910,Sulfate Reduction
88866357,Sulfate Reduction
84663555,Sulfate Reduction
55740973,Sulfate Reduction
187936462,Sulfate Reduction
62432965,Sulfate Reduction
60476296,Sulfate Reduction
171465284,Sulfate Reduction
46520033,Sulfate Reduction
34017158,Sulfate Reduction
37726804,Sulfate Reduction
109290259,Sulfate Reduction
18034302,Sulfate Reduction
18034319,Sulfate Reduction
70930946,Sulfate Reduction
109290285,Sulfate Reduction
118424484,Sulfate Reduction
55978130,Sulfate Reduction
219851773,Sulfate Reduction
225194037,Sulfate Reduction
144906022,Sulfate Reduction
162072851,Sulfate Reduction
12667624,Sulfate Reduction
55978127,Sulfate Reduction
118424398,Sulfate Reduction
55978135,Sulfate Reduction
14389271,Sulfate Reduction
18034325,Sulfate Reduction
118424502,Sulfate Reduction
158522680,Sulfate Reduction
83590465,Sulfate Reduction
14389267,Sulfate Reduction
40253093,Sulfate Reduction
23013190,Sulfate Reduction
229610700,Sulfate Reduction
13249533,Sulfate Reduction
55978100,Sulfate Reduction
46307976,Sulfate Reduction
18160975,Sulfate Reduction
62512302,Sulfate Reduction
241879482,Sulfate Reduction
151357479,Sulfate Reduction
14389169,Sulfate Reduction
162072795,Sulfate Reduction
33320441,Sulfate Reduction
109452399,Sulfate Reduction
46307904,Sulfate Reduction
144905877,Sulfate Reduction
46307858,Sulfate Reduction
169742873,Sulfate Reduction
111034973,Sulfate Reduction
219939251,Sulfate Reduction
258513443,Sulfate Reduction
76666604,Sulfate Reduction
33320481,Sulfate Reduction
118424424,Sulfate Reduction
118424433,Sulfate Reduction
109452468,Sulfate Reduction
37726844,Sulfate Reduction
15077475,Sulfate Reduction
90954619,Sulfate Reduction
118424532,Sulfate Reduction
119960118,Sulfate Reduction
227438051,Sulfate Reduction
118424418,Sulfate Reduction
109452389,Sulfate Reduction
62512267,Sulfate Reduction
225194053,Sulfate Reduction
13591679,Sulfate Reduction
37726843,Sulfate Reduction
114227200,Sulfate Reduction
225194080,Sulfate Reduction
117609202,Sulfate Reduction
22900882,Sulfate Reduction
157679437,Sulfate Reduction
118424374,Sulfate Reduction
237823283,Sulfate Reduction
82618395,Sulfate Reduction
171465252,Sulfate Reduction
90954581,Sulfate Reduction
20501991,Sulfate Reduction
118424335,Sulfate Reduction
76666837,Sulfate Reduction
82940331,Sulfate Reduction
157679455,Sulfate Reduction
6179922,Sulfate Reduction
166200726,Sulfate Reduction
109452489,Sulfate Reduction
222138063,Sulfate Reduction
229473018,Sulfate Reduction
116061977,Sulfate Reduction
12667584,Sulfate Reduction
225194119,Sulfate Reduction
162072842,Sulfate Reduction
223954132,Sulfate Reduction
84778383,Sulfate Reduction
219810259,Sulfate Reduction
40253057,Sulfate Reduction
118424270,Sulfate Reduction
223470320,Sulfate Reduction
109452531,Sulfate Reduction
13249545,Sulfate Reduction
62512312,Sulfate Reduction
209171680,Sulfate Reduction
1785560,Sulfate Reduction
118424497,Sulfate Reduction
157679052,Sulfate Reduction
18034331,Sulfate Reduction
120563804,Sulfate Reduction
82618401,Sulfate Reduction
109452519,Sulfate Reduction
14389143,Sulfate Reduction
34604742,Sulfate Reduction
74056882,Sulfate Reduction
46307961,Sulfate Reduction
209869118,Sulfate Reduction
118424403,Sulfate Reduction
258526098,Sulfate Reduction
144905951,Sulfate Reduction
90954611,Sulfate Reduction
158523516,Sulfate Reduction
