GenbankID,GeneName,GeneCategory,Replicate,8,6
25140399,phenol_oxidase,Carbon cycling,1,11.0134,NA
145577320,pulA,Carbon cycling,1,8.9956,8.3515
118762773,vanA,Carbon cycling,1,8.8366,NA
31747164,endoglucanase,Carbon cycling,1,8.8066,8.0951
119191930,glx,Carbon cycling,1,9.2219,9.2009
115401988,phenol_oxidase,Carbon cycling,1,8.9976,8.5789
66574689,ara,Carbon cycling,1,8.8928,NA
46108938,cellobiase,Carbon cycling,1,9.3784,8.9518
126276051,cellobiase,Carbon cycling,1,8.4626,NA
156191996,amyA,Carbon cycling,1,9.3358,9.3109
90020635,amyA,Carbon cycling,1,8.5369,NA
2429326,endochitinase,Carbon cycling,1,8.2517,NA
121495873,phenol_oxidase,Carbon cycling,1,9.5278,8.9947
133778506,endochitinase,Carbon cycling,1,8.8069,8.8355
91799470,glucoamylase,Carbon cycling,1,9.5349,9.4824
927653,endochitinase,Carbon cycling,1,8.3339,NA
92918950,acetylglucosaminidase,Carbon cycling,1,9.3978,8.5927
29610420,ara,Carbon cycling,1,8.8268,NA
114196273,pectinase,Carbon cycling,1,8.9504,NA
76876845,phenol_oxidase,Carbon cycling,1,10.2798,9.5265
123228628,phenol_oxidase,Carbon cycling,1,8.54,NA
121709492,ara_fungi,Carbon cycling,1,8.8729,NA
148556298,vanA,Carbon cycling,1,8.8605,NA
78519228,vanA,Carbon cycling,1,9.3226,9.8657
1050304,glx,Carbon cycling,1,9.0939,8.4558
151362421,cellobiase,Carbon cycling,1,9.9842,8.5148
110831199,vanA,Carbon cycling,1,10.1145,9.0677
83645262,exoglucanase,Carbon cycling,1,9.48,8.4136
106889690,ara,Carbon cycling,1,9.8322,8.8002
37703769,phenol_oxidase,Carbon cycling,1,9.2754,8.7236
6910983,mnp,Carbon cycling,1,8.3452,NA
20270772,phenol_oxidase,Carbon cycling,1,9.7994,NA
113897923,amyA,Carbon cycling,1,10.7866,10.8823
70992037,endochitinase,Carbon cycling,1,8.5124,NA
118762970,vanA,Carbon cycling,1,9.8395,NA
116623106,ara,Carbon cycling,1,8.699,NA
90304595,endochitinase,Carbon cycling,1,9.7415,9.2089
116671523,cellobiase,Carbon cycling,1,10.2849,9.7591
145960495,endochitinase,Carbon cycling,1,9.4492,NA
40218016,phenol_oxidase,Carbon cycling,1,9.871,10.1151
52214526,ara,Carbon cycling,1,9.183,NA
71159389,phenol_oxidase,Carbon cycling,1,9.5933,9.0245
15212230,ara,Carbon cycling,1,10.1113,8.7837
156742580,xylA,Carbon cycling,1,9.6444,8.4704
114197670,amyA,Carbon cycling,1,9.6332,9.1379
120577985,ara_fungi,Carbon cycling,1,10.0462,9.9517
86572402,amyA,Carbon cycling,1,9.1028,NA
5669882,lip,Carbon cycling,1,9.4007,NA
56785446,phenol_oxidase,Carbon cycling,1,9.5781,NA
121715065,endochitinase,Carbon cycling,1,10.6276,10.1797
106762431,amyA,Carbon cycling,1,9.2923,9.1562
83312163,pulA,Carbon cycling,1,9.0391,NA
126105499,phenol_oxidase,Carbon cycling,1,9.63,8.226
94495092,amyA,Carbon cycling,1,8.1681,NA
56609602,amyA,Carbon cycling,1,8.9475,NA
20986705,exoglucanase,Carbon cycling,1,9.5596,9.2303
56419238,amyA,Carbon cycling,1,8.8772,8.4202
169266,lip,Carbon cycling,1,8.7833,NA
15805432,pulA,Carbon cycling,1,9.148,NA
50954092,amyA,Carbon cycling,1,10.6643,9.9398
39973413,ara_fungi,Carbon cycling,1,9.0803,NA
83772446,ara_fungi,Carbon cycling,1,8.7884,NA
156039581,phenol_oxidase,Carbon cycling,1,9.1429,8.6797
66964859,amyA,Carbon cycling,1,8.6679,8.2333
37956598,endochitinase,Carbon cycling,1,8.8283,NA
113935746,xylanase,Carbon cycling,1,9.1218,8.2693
157408057,amyA,Carbon cycling,1,8.7391,10.0018
126236393,CDH,Carbon cycling,1,9.8504,NA
113945095,pulA,Carbon cycling,1,8.8136,8.7705
63147342,phenol_oxidase,Carbon cycling,1,9.3319,NA
108460873,endochitinase,Carbon cycling,1,8.7882,8.8648
52347036,mannanase,Carbon cycling,1,11.0066,9.8975
56785444,phenol_oxidase,Carbon cycling,1,10.7065,10.0175
77176916,endoglucanase,Carbon cycling,1,9.9377,8.2976
59044731,pectinase,Carbon cycling,1,9.6801,8.8182
67535763,pulA,Carbon cycling,1,9.72,8.6444
2331295,lip,Carbon cycling,1,8.8477,8.9382
89087213,amyA,Carbon cycling,1,9.2199,8.0214
126105557,phenol_oxidase,Carbon cycling,1,8.7125,8.3427
23492471,vanA,Carbon cycling,1,8.7673,8.4419
